Razao_Social;Cnpj;Mes;Ano;Barras;Descricao;Fabricante;Grupo;Total_custo;Quantidade;Valor_bruto;Valor_liquido;Valor_desconto
FARMACIA ANA TERRA LTDA;86384344000167;2;2013;7897144660800;ESC DENT BITUFO DRY;BITUFO;REVENDAS;5,79;1;8,90;8,90;0,00
FARMACIA ANA TERRA LTDA;86384344000167;4;2013;7897144660800;ESC DENT BITUFO DRY;BITUFO;REVENDAS;5,79;1;8,90;8,90;0,00
FARMACIA ANA TERRA LTDA;86384344000167;1;2013;7891051028791;APAR BAR PROBAK II 2UN;GILLETTE DO BRASIL LTDA.;REVENDAS;8,25;5;11,50;11,18;0,32
FARMACIA ANA TERRA LTDA;86384344000167;2;2013;7891051028791;APAR BAR PROBAK II 2UN;GILLETTE DO BRASIL LTDA.;REVENDAS;8,25;6;13,80;13,80;0,00
FARMACIA ANA TERRA LTDA;86384344000167;1;2013;7896269900075;AEROLIN  XPE 120ML;GLAXO DO BRASIL S/A;DROGARIAS;5,83;1;8,05;8,00;0,05
FARMACIA ANA TERRA LTDA;86384344000167;3;2013;7896269900075;AEROLIN  XPE 120ML;GLAXO DO BRASIL S/A;DROGARIAS;5,83;1;8,05;7,65;0,40
FARMACIA ANA TERRA LTDA;86384344000167;7;2013;7896269900075;AEROLIN  XPE 120ML;GLAXO DO BRASIL S/A;DROGARIAS;17,97;3;24,84;23,96;0,88
FARMACIA ANA TERRA LTDA;86384344000167;1;2013;7896261002067;AGASTEN 120ML;NOVARTIS;DROGARIAS;8,00;1;10,64;10,64;0,00
FARMACIA ANA TERRA LTDA;86384344000167;2;2013;7896261002067;AGASTEN 120ML;NOVARTIS;DROGARIAS;8,00;1;10,64;10,11;0,53
FARMACIA ANA TERRA LTDA;86384344000167;6;2013;7896261002067;AGASTEN 120ML;NOVARTIS;DROGARIAS;8,50;1;11,31;10,74;0,57
FARMACIA ANA TERRA LTDA;86384344000167;7;2013;7896261002067;AGASTEN 120ML;NOVARTIS;DROGARIAS;8,50;1;11,31;11,31;0,00
FARMACIA ANA TERRA LTDA;86384344000167;5;2013;7896317903607;ENAX 200MG 30CAPS;ATIVUS;DROGARIAS;17,36;1;23,09;22,94;0,15
FARMACIA ANA TERRA LTDA;86384344000167;1;2013;7896422505567;AMBROXOL MED XPE PED 120ML;MEDLEY S/A INDUSTRIA FARMACEUTICA;DROGARIAS;15,94;2;21,20;18,37;2,83
FARMACIA ANA TERRA LTDA;86384344000167;2;2013;7896422505567;AMBROXOL MED XPE PED 120ML;MEDLEY S/A INDUSTRIA FARMACEUTICA;DROGARIAS;9,51;1;12,65;8,73;3,92
FARMACIA ANA TERRA LTDA;86384344000167;3;2013;7896422505567;AMBROXOL MED XPE PED 120ML;MEDLEY S/A INDUSTRIA FARMACEUTICA;DROGARIAS;28,53;3;37,95;34,15;3,80
