Razao Social;Cnpj;Mes;Ano;Barras;Descricao;Fabricante;Grupo;Total custo;Quantidade;Valor bruto;Valor liquido;Valor desconto
MR WK FCIA LTDA ME;15786984000155;2;2013;7897032520063;ESCOVA OVAL GASPAR;;PERFUMARIA;0,52;1;1,3;1,3;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7893454300115;ACERATUM 10ML DELTA;DELTA;SIMILARES;9,53;6;74,04;74,04;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896714200132;ACICLOVIR 200MG 25 COMP NEO QU;NEO QUIMICA;SIMILARES;53,3;2;133,42;106,74;26,68
MR WK FCIA LTDA ME;15786984000155;2;2013;7896714230122;HECLIVIR CR 15 GR NEO QUIMICA;;SIMILARES;14,35;5;93,3;89,57;3,73
MR WK FCIA LTDA ME;15786984000155;2;2013;7896714201108;NEO FOLICO 5MG C/20 CPR;NEO QUIMICA;SIMILARES;5,13;2;13,26;13,26;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896269900150;AEROLIN SP 200 DOSES;GLAXO;ETICOS;21,4;1;28,8;28,8;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896313206009;AGUA DE MELISSA LIFAR IFAL;;LIBERADOS;1,41;3;6;6;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896523200552;ALGEXIN CPTO 10 DRAG HONOTERAP;CIMED;SIMILARES;8,25;2;21,96;20,31;1,65
MR WK FCIA LTDA ME;15786984000155;2;2013;7896523200590;ALGEXIN CPTO 15 ML;CIMED;SIMILARES;9,06;1;11,72;11,72;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7897230300184;ALIVIOSOL SP 120ML;;PROT SOLAR ANASOL;9,35;5;70,15;70,15;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7891058006716;ALLEGRA D 10 COMP;SANOFI;ETICOS;28,94;1;37,41;33,67;3,74
MR WK FCIA LTDA ME;15786984000155;2;2013;7898037080460;ALMEIDA PRADO COMPLEX 46 60 CA;ALMEIDAPRADO;LIBERADOS;8,07;1;8,94;8,94;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7897595601179;AMIDALIN 20 PASTILHAS CEREJA Q;SANDOZ;SIMILARES;8,4;6;67,02;65,34;1,68
MR WK FCIA LTDA ME;15786984000155;2;2013;7897595601186;AMIDALIN 20 PASTILHAS MENTA QI;SANDOZ;SIMILARES;8,4;4;44,68;44,68;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896026301077;ANADOR C/ 4 CPD;BOEHRINGER;ETICOS;1,79;27;64,8;63,38;1,42
MR WK FCIA LTDA ME;15786984000155;2;2013;7896026300490;ANADOR GTS 10 ML;BOEHRINGER;ETICOS;5,6;1;6,81;6,81;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7891317006013;ANDOLBA AEROSOL 43 G;EUROFARMA OTC;ETICOS;15,29;1;19,85;19,85;0
